:Product: Daily Solar Data         1996_DSD.txt
:Issued: 0225 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                            1996 Daily Solar Data
#

                          Sunspot       Stanford GOES8
           Radio  SESC      Area          Solar  X-ray   ------- Flares --------  
           Flux  Sunspot   10E-6    New    Mean   Bkgd    X-ray       Optical     
   Date   10.7cm  Number   Hemis. Regions Field   Flux   C  M  X   Not Available  
20 Mar 96   69       0         0     0     -11    A0.4   0  0  0
21 Mar 96   70      15        10     1      -3    A0.3   0  0  0
22 Mar 96   74      20        40     0     -18    A1.0   0  0  0
23 Mar 96   72      29       120     0      -3    A1.6   0  0  0
24 Mar 96   71      17       110     0       0    A0.4   0  0  0
25 Mar 96   72      18        90     0     -10    A0.5   0  0  0
26 Mar 96   72      31       100     1       *    A0.6   0  0  0
27 Mar 96   72      27       110     0       0    A0.6   0  0  0
28 Mar 96   72      25        70     0       1    A0.4   0  0  0
29 Mar 96   71       0         0     0       *    A0.4   *  *  *
30 Mar 96   70      12         0     0      -2    A0.4   0  0  0
31 Mar 96   70       0         0     0       *    A0.3   0  0  0
01 Apr 96   68      13        10     1       *    A0.5   0  0  0
02 Apr 96   71      14        10     0      -8    A0.6   0  0  0
03 Apr 96   71      14        20     0      -5    A1.0   0  0  0
04 Apr 96   70      11        10     0      -5    A1.0   0  0  0
05 Apr 96   70       0         0     0      -4    A1.4   *  *  *
06 Apr 96   69       0         0     0       3    A1.1   *  *  *
07 Apr 96   68       0         0     0      11    A0.5   *  *  *
08 Apr 96   68       0         0     0       *    A0.5   *  *  *
09 Apr 96   69       0         0     0       *    A0.4   *  *  *
10 Apr 96   69       0         0     0       3    A0.5   *  *  *
11 Apr 96   68       0         0     0     -12    A0.5   *  *  *
12 Apr 96   68      13        10     1     -12    A0.5   *  *  *
13 Apr 96   69      13        10     0     -19    A0.7   *  *  *
14 Apr 96   69       0         0     0       *    A0.6   *  *  *
15 Apr 96   68       0         0     0       *    A0.5   *  *  *
16 Apr 96   68      12         0     0     -15    A0.8   0  0  0
17 Apr 96   69      14        10     0       *    A0.7   0  0  0
18 Apr 96   70      29        20     1      -7    A0.6   0  0  0
19 Apr 96   70      26        20     0      -6    A1.5   0  0  0
20 Apr 96   71      28        40     1      -1    A1.1   0  0  0
21 Apr 96   74      18       140     0      -2    A3.0   0  0  0
22 Apr 96   72      15       140     0      -1    A6.8   4  1  0
23 Apr 96   71      12        30     0      -6    A8.3   0  0  0
24 Apr 96   68      11         0     1      27    A8.5   0  0  0
25 Apr 96   67       0         0     0       0    A1.0   0  0  0
26 Apr 96   68       0         0     0       4    A0.6   0  0  0
27 Apr 96   68       0         0     0      -2    A0.5   0  0  0
28 Apr 96   67      13        10     1      -4    A0.4   *  *  *
29 Apr 96   68       0         0     0      -2    A0.4   *  *  *
30 Apr 96   68       0         0     0      -3    A0.4   *  *  *
01 May 96   67       0         0     0       9    A0.4   0  0  0
02 May 96   67       0         0     0      -3    A0.5   0  0  0
03 May 96   68       0         0     0       0    A0.6   0  0  0
04 May 96   69       0         0     0       7    A0.6   0  0  0
05 May 96   70      12         0     1       4    A1.3   1  0  0
06 May 96   74      26        50     1       *    A5.9   1  0  0
07 May 96   74      27       110     0       2    A7.8   1  0  0
08 May 96   76      19       120     0      -7    A5.3   2  0  0
09 May 96   76      17       130     0      -7    A7.2   0  0  0
10 May 96   77      33       130     1      -8    A3.6   0  0  0
11 May 96   76      53       140     1      -8    A4.0   1  0  0
12 May 96   73      35       110     0     -12    A4.9   0  0  0
13 May 96   72      38       100     0     -12    A2.3   0  0  0
14 May 96   71      30        90     0       *    A2.4   0  0  0
15 May 96   70      26        30     0       *    A1.6   0  0  0
16 May 96   71      14        30     0       *    A1.5   0  0  0
17 May 96   71      12        20     0       *    A1.8   0  0  0
18 May 96   70       0         0     0       3    A1.7   0  0  0
19 May 96   68       0         0     0       2    A2.0   0  0  0
20 May 96   67       0         0     0      -6    A1.0   0  0  0
21 May 96   66       0         0     0       *    A0.6   0  0  0
22 May 96   66      11         0     1       *    A0.5   0  0  0
23 May 96   67      12         0     1      10    A0.4   0  0  0
24 May 96   67       0         0     0      -3    A0.4   0  0  0
25 May 96   67       0         0     0      -1    A0.4   0  0  0
26 May 96   67       0         0     0      -4    A0.4   *  *  *
27 May 96   67       0         0     0       4    A0.4   *  *  *
28 May 96   66       0         0     0      -4    A0.4   *  *  *
29 May 96   66       0         0     0       4    A0.4   *  *  *
30 May 96   67       0         0     0       6    A0.4   *  *  *
31 May 96   68       0         0     0      19    A0.4   *  *  *
01 Jun 96   68      11         0     1      10    A0.5   *  *  *
02 Jun 96   68      11         0     0       8    A0.6   *  *  *
03 Jun 96   69      13         0     1       1    A0.5   *  *  *
04 Jun 96   69      23        10     1       4    A0.6   0  0  0
05 Jun 96   71      28        30     0       4    A0.6   0  0  0
06 Jun 96   72      32        60     1       4    A1.0   0  0  0
07 Jun 96   73      38        90     0       *    A4.1   0  0  0
08 Jun 96   70      29        90     0      -6    A2.6   0  0  0
09 Jun 96   70      34       100     1      -4    A1.4   0  0  0
10 Jun 96   69      17        60     0     -14    A0.9   0  0  0
11 Jun 96   68      11        40     0     -18    A1.3   0  0  0
12 Jun 96   67      11         0     0     -14    A0.8   *  *  *
13 Jun 96   68       0         0     0      -5    A0.7   *  *  *
14 Jun 96   68       0         0     0      -3    A0.7   *  *  *
15 Jun 96   67       0         0     0       2    A0.5   0  0  0
16 Jun 96   67       0         0     0       1    A0.5   0  0  0
17 Jun 96   67       0         0     0       1    A0.5   0  0  0
18 Jun 96   68      12         0     1       0    A0.7   0  0  0
19 Jun 96   68      24        80     1      -8    A1.3   0  0  0
20 Jun 96   70      22       100     0       2    A1.1   0  0  0
21 Jun 96   70      33        90     1      -4    A1.1   0  0  0
22 Jun 96   70      23       100     1      -3    A0.8   0  0  0
23 Jun 96   69      23       110     1       1    A0.9   1  0  0
24 Jun 96   72      25       100     0      15    A1.2   0  0  0
25 Jun 96   72      23        90     0      14    A1.0   0  0  0
26 Jun 96   72      25        80     0       *    A0.9   *  *  *
27 Jun 96   71      25        90     0      23    A0.9   0  0  0
28 Jun 96   71      24       230     0       9    A0.9   0  0  0
29 Jun 96   71      23        80     0      12    A0.9   0  0  0
30 Jun 96   71      23        80     0       8    A1.0   0  0  0
01 Jul 96   70      11        50     0      13    A1.2   0  0  0
02 Jul 96   70      13        10     1     -14    A1.1   0  0  0
03 Jul 96   69      13        10     0       6    A0.8   0  0  0
04 Jul 96   69      12        10     1      -1    A1.0   0  0  0
05 Jul 96   69      12        10     0       2    A0.9   0  0  0
06 Jul 96   68       0         0     0      -8    A1.0   0  0  0
07 Jul 96   72      27        30     0     -20    A1.8   1  0  0
08 Jul 96   82      42       250     0      -3    B1.2   4  0  0
09 Jul 96   84      44       450     0      -5    B7.7   5  1  1
10 Jul 96   80      36       420     0       *    B2.0   5  1  0
11 Jul 96   77      32       390     0       1    B1.9   3  0  0
12 Jul 96   74      19       300     0      -2    A9.0   1  0  0
13 Jul 96   70      11        20     0       0    A7.4   0  0  0
14 Jul 96   68       0         0     0      -3    A3.9   1  0  0
15 Jul 96   67       0         0     0       5    A1.5   0  0  0
16 Jul 96   67       0         0     0      -3    A0.4   0  0  0
17 Jul 96   67       0         0     0       2    A0.4   0  0  0
18 Jul 96   65       0         0     0      -5    A0.4   0  0  0
19 Jul 96   66      12        10     1      -8    A0.4   *  *  *
20 Jul 96   65       0         0     0      -6    A0.4   *  *  *
21 Jul 96   65       0         0     0      -2    A0.4   0  0  0
22 Jul 96   66       0         0     0       0    A0.4   0  0  0
23 Jul 96   67       0         0     0      -1    A0.5   0  0  0
24 Jul 96   66       0         0     0      16    A0.5   0  0  0
25 Jul 96   68       0         0     0      10    A0.6   *  *  *
26 Jul 96   70      11         0     1       7    A3.1   0  0  0
27 Jul 96   73      13       200     1      12    A5.5   0  0  0
28 Jul 96   76      16       340     0      14    A6.4   0  0  0
29 Jul 96   78      22       360     0       1    A6.5   0  0  0
30 Jul 96   80      28       400     0      -8    A8.3   0  0  0
31 Jul 96   80      34       410     0       *    A7.0   0  0  0
01 Aug 96   80      32       300     0     -19    A7.4   0  0  0
02 Aug 96   80      34       320     0     -22    A7.7   0  0  0
03 Aug 96   79      30       290     0     -38    A6.6   0  0  0
04 Aug 96   78      29       220     0     -36    A7.8   0  0  0
05 Aug 96   74      20       220     0     -23    A8.5   0  0  0
06 Aug 96   73      13       140     0       2    A5.6   1  0  0
07 Aug 96   72      26       140     1       1    A8.4   1  0  0
08 Aug 96   70      24       120     0       7    A4.0   0  0  0
09 Aug 96   70      20        20     0       3    A3.0   0  0  0
10 Aug 96   72      33        40     1       4    A2.4   0  0  0
11 Aug 96   73      30        90     0       3    A3.0   0  0  0
12 Aug 96   70      22        80     0      -8    A3.1   0  0  0
13 Aug 96   70      16        50     0      -1    A0.9   0  0  0
14 Aug 96   69      30        20     1       0    A2.1   0  0  0
15 Aug 96   68      26        20     0      -7    A1.1   0  0  0
16 Aug 96   68      14        20     0       4    A0.9   0  0  0
17 Aug 96   68      15        20     0       5    A0.8   0  0  0
18 Aug 96   67      14        10     0      12    A0.6   *  *  *
19 Aug 96   68      13        10     1       7    A0.5   *  *  *
20 Aug 96   69      13        10     0      14    A1.0   0  0  0
21 Aug 96   70      12         0     0      13    A3.3   0  0  0
22 Aug 96   73      12        20     0      12    A4.3   3  0  0
23 Aug 96   74      24        70     1      21    B2.9   1  0  0
24 Aug 96   75      22       100     0      28    B1.2   0  0  0
25 Aug 96   75      14       100     0       *    B1.1   1  0  0
26 Aug 96   74      16       230     0       *    A6.6   0  0  0
27 Aug 96   74      13        60     0      -2    A6.7   0  0  0
28 Aug 96   73      13        50     0      -8    A6.9   1  0  0
29 Aug 96   74      20       100     0     -23    A4.7   0  0  0
30 Aug 96   73      16        60     0     -43    A5.7   0  0  0
31 Aug 96   76      26        50     1     -57    A5.2   0  0  0
01 Sep 96   74      11        30     0     -12    A8.5   0  0  0
02 Sep 96   72      13        30     0      -6    A5.5   0  0  0
03 Sep 96   71      11        20     0       1    A4.7   0  0  0
04 Sep 96   71      11         0     0       8    A5.5   0  0  0
05 Sep 96   70       0         0     0       7    A3.2   0  0  0
06 Sep 96   70       0         0     0       6    A2.7   *  *  *
07 Sep 96   70      15        20     1       3    A2.1   *  *  *
08 Sep 96   68      15        10     0      12    A0.7   *  *  *
09 Sep 96   68       0         0     0       1    A0.5   *  *  *
10 Sep 96   68       0         0     0      -5    A0.4   *  *  *
11 Sep 96   68       0         0     0      -4    A0.6   *  *  *
12 Sep 96   68      11         0     1     -17    A0.4   *  *  *
13 Sep 96   67       0         0     0      -1    A0.7   *  *  *
14 Sep 96   67       0         0     0       6    A0.7   0  0  0
15 Sep 96   66       0         0     0      10    A0.8   0  0  0
16 Sep 96   68       0         0     0       9    A0.8   *  *  *
17 Sep 96   69       0         0     0       7    A1.3   *  *  *
18 Sep 96   69       0         0     0      13    A1.2   *  *  *
19 Sep 96   69       0         0     0      16    A1.7   0  0  0
20 Sep 96   69       0         0     0      30    A1.5   0  0  0
21 Sep 96   70       0         0     0      33    A1.7   0  0  0
22 Sep 96   69       0         0     0      19    A1.8   0  0  0
23 Sep 96   70       0         0     0       6    A2.4   0  0  0
24 Sep 96   70       0         0     0      -8    A1.9   0  0  0
25 Sep 96   71       0         0     0     -18    A2.2   0  0  0
26 Sep 96   70       0         0     0     -44       *   0  0  0
27 Sep 96   70       0         0     0     -13    A1.5   0  0  0
28 Sep 96   71       0         0     0     -26    A2.1   0  0  0
29 Sep 96   70       0         0     0      -5    A1.8   0  0  0
30 Sep 96   70       0         0     0       2    A1.6   0  0  0
01 Oct 96   70       0         0     0       3    A0.9   0  0  0
02 Oct 96   70       0         0     0       3    A0.9   0  0  0
03 Oct 96   70       0         0     0       *    A0.9   0  0  0
04 Oct 96   69       0         0     0      12    A0.9   *  *  *
05 Oct 96   69       0         0     0       1    A0.9   *  *  *
06 Oct 96   69       0         0     0      -4    A0.9   *  *  *
07 Oct 96   68       0         0     0       *    A0.9   *  *  *
08 Oct 96   68       0         0     0       7    A0.9   *  *  *
09 Oct 96   68       0         0     0      -2    A0.9   *  *  *
10 Oct 96   68       0         0     0      14    A0.9   *  *  *
11 Oct 96   67       0         0     0      -1    A0.9   *  *  *
12 Oct 96   67       0         0     0      16    A0.9   0  0  0
13 Oct 96   68       0         0     0       0    A0.9   0  0  0
14 Oct 96   69       0         0     0       1    A0.9   0  0  0
15 Oct 96   69       0         0     0      18    A0.9   *  *  *
16 Oct 96   69       0         0     0      17    A0.9   *  *  *
17 Oct 96   69       0         0     0      13    A0.9   *  *  *
18 Oct 96   70       0         0     0       *    A0.9   0  0  0
19 Oct 96   71       0         0     0      15    A0.9   0  0  0
20 Oct 96   71      11         0     1       5    A0.9   0  0  0
21 Oct 96   70       0         0     0      -2    A0.9   0  0  0
22 Oct 96   70       0         0     0     -19    A0.9   0  0  0
23 Oct 96   68       0         0     0     -24    A0.9   *  *  *
24 Oct 96   70       0         0     0       *    A0.9   0  0  0
25 Oct 96   70      13        10     1       *    A0.9   0  0  0
26 Oct 96   71      26        20     1     -19    A0.9   0  0  0
27 Oct 96   72      11        10     0     -13    A0.9   0  0  0
28 Oct 96   68      11         0     0      -3    A0.9   0  0  0
29 Oct 96   70       0         0     0       *    A0.9   *  *  *
30 Oct 96   71       0         0     0       *    A0.9   *  *  *
31 Oct 96   70       0         0     0       7    A0.9   *  *  *
01 Nov 96   70       0         0     0      -8    A0.9   *  *  *
02 Nov 96   69       0         0     0      -8    A0.9   *  *  *
03 Nov 96   70       0         0     0       *    A0.9   *  *  *
04 Nov 96   69       0         0     0       *    A0.9   *  *  *
05 Nov 96   68       0         0     0       0    A0.9   0  0  0
06 Nov 96   69       0         0     0       1    A0.9   0  0  0
07 Nov 96   69       0         0     0      -3    A0.9   0  0  0
08 Nov 96   69       0         0     0       6    A0.9   0  0  0
09 Nov 96   70      11         0     1      23    A0.9   0  0  0
10 Nov 96   71      23        10     1       8    A0.9   0  0  0
11 Nov 96   72      25        20     0       9    A0.9   0  0  0
12 Nov 96   72      13        30     1       3    A0.9   0  0  0
13 Nov 96   73      15        20     0       7    A0.9   0  0  0
14 Nov 96   74      24        10     1       *    A0.9   *  *  *
15 Nov 96   74      29        20     0       8    A0.9   *  *  *
16 Nov 96   74      49        40     2       *    A1.1   *  *  *
17 Nov 96   72      49        20     0       *    A1.3   0  0  0
18 Nov 96   74      24        10     0       4    A0.8   0  0  0
19 Nov 96   74      13        10     0       *    A1.0   0  0  0
20 Nov 96   75      11         0     0     -25    A1.0   0  0  0
21 Nov 96   74      26        20     1       *    A1.0   0  0  0
22 Nov 96   83      34       120     0     -13    A3.3   0  0  0
23 Nov 96   91      58       340     0       *    B1.0   1  0  0
24 Nov 96  100      60       520     0     -19    B3.3   8  0  0
25 Nov 96  104      89      1110     1     -16    B5.5  13  0  0
26 Nov 96  104      76       950     0      -2    B2.2   1  0  0
27 Nov 96  103      63       860     0      -7    B8.2   0  0  0
28 Nov 96   98      40       690     0       *    B3.3   2  0  0
29 Nov 96   91      38       580     0      -1    B4.5   0  1  0
30 Nov 96   88      30       570     0      -9    B3.4   2  0  0
01 Dec 96   83      47       450     2      -5    C1.3   2  0  0
02 Dec 96   78      13       100     0     -10    B2.3   5  0  0
03 Dec 96   73       0         0     0      -6    B2.4   0  0  0
04 Dec 96   71       0         0     0      13    A3.7   0  0  0
05 Dec 96   70       0         0     0       *    A0.5   0  0  0
06 Dec 96   70       0         0     0       *    A0.4   0  0  0
07 Dec 96   69      12        10     1      15    A0.4   0  0  0
08 Dec 96   69      14        10     0       *    A0.4   0  0  0
09 Dec 96   74      20        50     0       *    A0.7   0  0  0
10 Dec 96   72      17        40     0       *    A2.7   0  0  0
11 Dec 96   78      31       270     1       *    A3.6   1  0  0
12 Dec 96   81      32       170     0      17    A6.7   0  0  0
13 Dec 96   80      31       210     0       *    A8.5   0  0  0
14 Dec 96   83      30       210     0       *    A8.5   0  0  0
15 Dec 96   85      25       260     0       *    A6.8   0  0  0
16 Dec 96   86      27        60     1       *    B1.2   0  0  0
17 Dec 96   86      38        90     1       *    B1.0   0  0  0
18 Dec 96   88      33       190     0       *    A8.9   0  0  0
19 Dec 96   87      23       110     0       4    A9.2   0  0  0
20 Dec 96   83      13        50     0       *    A6.7   0  0  0
21 Dec 96   84      28        60     1       *    A4.9   0  0  0
22 Dec 96   82      26        60     1       *    A4.9   0  0  0
23 Dec 96   80      24        50     0       *    A4.0   0  0  0
24 Dec 96   79       0         0     0       *    A4.3   0  0  0
25 Dec 96   77       0         0     0       *    A2.6   0  0  0
26 Dec 96   76       0         0     0       *    A1.0   0  0  0
27 Dec 96   75       0         0     0       *    A0.8   0  0  0
28 Dec 96   74       0         0     0       *    A0.6   0  0  0
29 Dec 96   74       0         0     0       *    A0.8   0  0  0
30 Dec 96   73       0         0     0       *    A0.8   0  0  0
31 Dec 96   72       0         0     0       *    A0.7   0  0  0
